participant,signals,variables
102,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
103,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
104,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
105,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
106,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
107,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
108,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
109,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
110,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
111,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
112,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
113,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
114,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
115,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
116,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
117,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
118,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
119,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
120,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
121,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
122,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
123,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
124,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
125,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
126,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
127,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
128,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
129,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
130,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
131,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
132,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
133,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
134,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
135,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
136,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
137,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
138,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
139,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
140,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
141,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
142,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
143,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
144,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
145,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
146,24,"__columns__, __recording_keys__, CrossArms__LeftWrist, CrossArms__RightWrist, DrinkGlas__LeftWrist, DrinkGlas__RightWrist, Entrainment__LeftWrist, Entrainment__RightWrist, HoldWeight__LeftWrist, HoldWeight__RightWrist, LiftHold__LeftWrist, LiftHold__RightWrist, PointFinger__LeftWrist, PointFinger__RightWrist, Relaxed__LeftWrist, Relaxed__RightWrist, RelaxedTask__LeftWrist, RelaxedTask__RightWrist, StretchHold__LeftWrist, StretchHold__RightWrist, TouchIndex__LeftWrist, TouchIndex__RightWrist, TouchNose__LeftWrist, TouchNose__RightWrist"
